 ,Label,X,Y
1,A.tif,10325.000,157.000
2,A.tif,10252.500,159.500
3,A.tif,9924.500,162.167
4,A.tif,9743.166,160.833
5,A.tif,9229.832,159.500
6,A.tif,10107.166,160.833
7,A.tif,10907.832,159.500
8,A.tif,11602.500,159.500
9,A.tif,11419.832,160.833
10,A.tif,11859.832,159.500
11,A.tif,12879.500,160.833
12,A.tif,15651.166,158.167
13,A.tif,18643.168,162.167
14,A.tif,20175.500,159.500
15,A.tif,22000.500,162.167
16,A.tif,20759.168,159.500
17,A.tif,23312.832,160.833
18,A.tif,22472.832,160.833
19,A.tif,22727.500,162.167
20,A.tif,22436.832,159.500
21,A.tif,8246.167,159.500
22,A.tif,7477.500,159.500
23,A.tif,146.167,160.833
24,G.tif,0.000,0.000
25,G.tif,148.000,158.000
26,G.tif,875.500,160.833
27,G.tif,1204.833,160.833
28,G.tif,1971.833,159.500
29,G.tif,2920.833,160.833
30,G.tif,2555.500,159.500
31,G.tif,4742.833,160.833
32,G.tif,23311.500,159.500
